Comment,Designator,Footprint,LCSC
D,D9,D3_TH_SMD,
SW_PUSH,rSW21,Kailh_Choc_V1,
D,D1,D3_TH_SMD,
D,rD8,D3_TH_SMD,
D,rD11,D3_TH_SMD,
D,rD19,D3_TH_SMD,
SW_PUSH,SW5,Kailh_Choc_V1,
SW_PUSH,rSW18,Kailh_Choc_V1,
SW_PUSH,SW9,Kailh_Choc_V1,
D,rD1,D3_TH_SMD,
D,rD2,D3_TH_SMD,
D,D18,D3_TH_SMD,
ProMicro,rU1,ProMicro_r,
D,rD21,D3_TH_SMD,
SW_PUSH,rSW12,Kailh_Choc_V1,
SW_PUSH,rSW17,Kailh_Choc_V1,
D,D6,D3_TH_SMD,
SW_PUSH,SW6,Kailh_Choc_V1,
D,D13,D3_TH_SMD,
D,D19,D3_TH_SMD,
D,D8,D3_TH_SMD,
SW_PUSH,rSW10,Kailh_Choc_V1,
SW_PUSH,rSW3,Kailh_Choc_V1,
D,D20,D3_TH_SMD,
OLED,rOL1,OLED,
D,rD7,D3_TH_SMD,
SW_PUSH,SW18,Kailh_Choc_V1,
D,rD17,D3_TH_SMD,
MJ-4PP-9,J1,TRRS_PJ-320A,
SW_PUSH,rSW20,Kailh_Choc_V1,
SW_PUSH,rSW11,Kailh_Choc_V1,
D,rD3,D3_TH_SMD,
D,rD15,D3_TH_SMD,
D,D21,D3_TH_SMD,
SW_PUSH,rSW13,Kailh_Choc_V1,
SW_PUSH,SW21,Kailh_Choc_V1,
SW_PUSH,SW14,Kailh_Choc_V1,
ProMicro,U1,ProMicro_r,
D,D15,D3_TH_SMD,
D,D10,D3_TH_SMD,
D,rD18,D3_TH_SMD,
SW_PUSH,rSW1,Kailh_Choc_V1,
D,D16,D3_TH_SMD,
SW_PUSH,rSW19,Kailh_Choc_V1,
D,D2,D3_TH_SMD,
MJ-4PP-9,rJ1,TRRS_PJ-320A,
SW_PUSH,SW16,Kailh_Choc_V1,
D,D23,D3_TH_SMD,
SW_PUSH,SW12,Kailh_Choc_V1,
SW_PUSH,rSW15,Kailh_Choc_V1,
SW_PUSH,rSW8,Kailh_Choc_V1,
SW_PUSH,SW7,Kailh_Choc_V1,
D,rD10,D3_TH_SMD,
SW_PUSH,rSW23,SW_PUSH_6x3mm,
D,rD22,D3_TH_SMD,
D,D3,D3_TH_SMD,
D,D11,D3_TH_SMD,
SW_PUSH,rSW7,Kailh_Choc_V1,
SW_PUSH,rSW2,Kailh_Choc_V1,
SW_PUSH,SW8,Kailh_Choc_V1,
D,rD13,D3_TH_SMD,
D,rD20,D3_TH_SMD,
SW_PUSH,SW2,Kailh_Choc_V1,
SW_PUSH,rSW9,Kailh_Choc_V1,
SW_PUSH,SW15,Kailh_Choc_V1,
D,D17,D3_TH_SMD,
SW_PUSH,SW13,Kailh_Choc_V1,
SW_PUSH,rSW22,Kailh_Choc_V1,
D,rD6,D3_TH_SMD,
D,rD9,D3_TH_SMD,
SW_PUSH,rSW5,Kailh_Choc_V1,
SW_PUSH,SW4,Kailh_Choc_V1,
SW_PUSH,SW17,Kailh_Choc_V1,
D,rD14,D3_TH_SMD,
SW_PUSH,rSW6,Kailh_Choc_V1,
D,D22,D3_TH_SMD,
SW_PUSH,SW10,Kailh_Choc_V1,
SW_PUSH,SW23,SW_PUSH_6x3mm,
SW_PUSH,rSW4,Kailh_Choc_V1,
D,rD12,D3_TH_SMD,
D,D5,D3_TH_SMD,
SW_PUSH,SW22,Kailh_Choc_V1,
SW_PUSH,SW1,Kailh_Choc_V1,
D,D14,D3_TH_SMD,
D,D4,D3_TH_SMD,
D,rD23,D3_TH_SMD,
SW_PUSH,SW3,Kailh_Choc_V1,
D,D7,D3_TH_SMD,
SW_PUSH,SW19,Kailh_Choc_V1,
SW_PUSH,rSW16,Kailh_Choc_V1,
D,rD4,D3_TH_SMD,
D,rD5,D3_TH_SMD,
D,D12,D3_TH_SMD,
SW_PUSH,rSW14,Kailh_Choc_V1,
SW_PUSH,SW20,Kailh_Choc_V1,
D,rD16,D3_TH_SMD,
SW_PUSH,SW11,Kailh_Choc_V1,
OLED,OL1,OLED,
