Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
D1,D,D3_TH_SMD,1.116,-19.660588,-90.0,top
D10,D,D3_TH_SMD,77.216,-35.916588,-90.0,top
D11,D,D3_TH_SMD,1.116,-57.379588,-90.0,top
D12,D,D3_TH_SMD,20.066,-52.553588,-90.0,top
D13,D,D3_TH_SMD,39.116,-50.140588,-90.0,top
D14,D,D3_TH_SMD,58.166,-52.680588,-90.0,top
D15,D,D3_TH_SMD,77.216,-55.093588,-90.0,top
D16,D,D3_TH_SMD,96.266,-61.697588,-90.0,top
D17,D,D3_TH_SMD,1.116,-76.556588,-90.0,top
D18,D,D3_TH_SMD,20.066,-71.730588,-90.0,top
D19,D,D3_TH_SMD,39.116,-69.317588,-90.0,top
D2,D,D3_TH_SMD,20.066,-14.453588,-90.0,top
D20,D,D3_TH_SMD,62.865,-78.842588,-90.0,top
D21,D,D3_TH_SMD,84.787492,-78.764096,-105.0,top
D22,D,D3_TH_SMD,106.045,-84.176588,-120.0,top
D23,D,D3_TH_SMD,104.27,-49.309,180.0,top
D3,D,D3_TH_SMD,39.116,-12.040588,-90.0,top
D4,D,D3_TH_SMD,58.166,-14.326588,-90.0,top
D5,D,D3_TH_SMD,77.216,-16.739588,-90.0,top
D6,D,D3_TH_SMD,1.116,-38.456588,-90.0,top
D7,D,D3_TH_SMD,20.066,-33.630588,-90.0,top
D8,D,D3_TH_SMD,39.116,-31.217588,-90.0,top
D9,D,D3_TH_SMD,58.166,-33.630588,-90.0,top
J1,MJ-4PP-9,TRRS_PJ-320A,119.361,-45.753,-90.0,top
OL1,OLED,OLED,122.301,-25.273,90.0,top
SW1,SW_PUSH,Kailh_Choc_V1,9.398,-21.61,0.0,top
SW10,SW_PUSH,Kailh_Choc_V1,85.598,-38.279,0.0,top
SW11,SW_PUSH,Kailh_Choc_V1,9.398,-59.71,0.0,top
SW12,SW_PUSH,Kailh_Choc_V1,28.448,-54.947,0.0,top
SW13,SW_PUSH,Kailh_Choc_V1,47.498,-52.568,0.0,top
SW14,SW_PUSH,Kailh_Choc_V1,66.548,-54.947,0.0,top
SW15,SW_PUSH,Kailh_Choc_V1,85.598,-57.329,0.0,top
SW16,SW_PUSH,Kailh_Choc_V1,104.648,-64.155,0.0,top
SW17,SW_PUSH,Kailh_Choc_V1,9.398,-78.76,0.0,top
SW18,SW_PUSH,Kailh_Choc_V1,28.448,-73.997,0.0,top
SW19,SW_PUSH,Kailh_Choc_V1,47.498,-71.618,0.0,top
SW2,SW_PUSH,Kailh_Choc_V1,28.448,-16.847,0.0,top
SW20,SW_PUSH,Kailh_Choc_V1,71.232,-81.158,0.0,top
SW21,SW_PUSH,Kailh_Choc_V1,92.623881,-83.115915,-15.0,top
SW22,SW_PUSH,Kailh_Choc_V1,112.429512,-89.853383,-30.0,top
SW23,SW_PUSH,SW_PUSH_6x3mm,104.267,-44.483,180.0,top
SW3,SW_PUSH,Kailh_Choc_V1,47.498,-14.468,0.0,top
SW4,SW_PUSH,Kailh_Choc_V1,66.548,-16.847,0.0,top
SW5,SW_PUSH,Kailh_Choc_V1,85.598,-19.229,0.0,top
SW6,SW_PUSH,Kailh_Choc_V1,9.398,-40.66,0.0,top
SW7,SW_PUSH,Kailh_Choc_V1,28.448,-35.897,0.0,top
SW8,SW_PUSH,Kailh_Choc_V1,47.498,-33.518,0.0,top
SW9,SW_PUSH,Kailh_Choc_V1,66.548,-35.897,0.0,top
U1,ProMicro,ProMicro_r,110.109,-25.052,0.0,top
rD1,D,D3_TH_SMD,256.721,-19.7235,-90.0,top
rD10,D,D3_TH_SMD,180.521,-35.9795,-90.0,top
rD11,D,D3_TH_SMD,256.721,-57.3155,-90.0,top
rD12,D,D3_TH_SMD,237.671,-52.6165,-90.0,top
rD13,D,D3_TH_SMD,218.621,-50.2035,-90.0,top
rD14,D,D3_TH_SMD,199.571,-52.4895,-90.0,top
rD15,D,D3_TH_SMD,180.521,-55.1565,-90.0,top
rD16,D,D3_TH_SMD,161.471,-62.0145,-90.0,top
rD17,D,D3_TH_SMD,256.721,-76.3655,-90.0,top
rD18,D,D3_TH_SMD,237.671,-73.6985,-90.0,top
rD19,D,D3_TH_SMD,218.621,-69.2535,-90.0,top
rD2,D,D3_TH_SMD,237.671,-14.6435,-90.0,top
rD20,D,D3_TH_SMD,194.872,-78.9055,-90.0,top
rD21,D,D3_TH_SMD,173.076508,-78.700008,-75.0,top
rD22,D,D3_TH_SMD,151.692,-84.4935,-60.0,top
rD23,D,D3_TH_SMD,152.654,-48.8065,0.0,top
rD3,D,D3_TH_SMD,218.748,-12.1035,-90.0,top
rD4,D,D3_TH_SMD,199.571,-14.3895,-90.0,top
rD5,D,D3_TH_SMD,180.521,-17.0565,-90.0,top
rD6,D,D3_TH_SMD,256.721,-38.2655,-90.0,top
rD7,D,D3_TH_SMD,237.671,-33.6935,-90.0,top
rD8,D,D3_TH_SMD,218.621,-31.2805,-90.0,top
rD9,D,D3_TH_SMD,199.571,-33.4395,-90.0,top
rJ1,MJ-4PP-9,TRRS_PJ-320A,138.449,-45.832,90.0,top
rOL1,OLED,OLED,135.509,-25.2785,90.0,top
rSW1,SW_PUSH,Kailh_Choc_V1,248.412,-21.621,0.0,top
rSW10,SW_PUSH,Kailh_Choc_V1,172.212,-38.3795,0.0,top
rSW11,SW_PUSH,Kailh_Choc_V1,248.412,-59.7155,0.0,top
rSW12,SW_PUSH,Kailh_Choc_V1,229.362,-55.0165,0.0,top
rSW13,SW_PUSH,Kailh_Choc_V1,210.312,-52.6035,0.0,top
rSW14,SW_PUSH,Kailh_Choc_V1,191.262,-54.8895,0.0,top
rSW15,SW_PUSH,Kailh_Choc_V1,172.212,-57.4295,0.0,top
rSW16,SW_PUSH,Kailh_Choc_V1,153.162,-64.2555,0.0,top
rSW17,SW_PUSH,Kailh_Choc_V1,248.412,-78.7655,0.0,top
rSW18,SW_PUSH,Kailh_Choc_V1,229.362,-74.0665,0.0,top
rSW19,SW_PUSH,Kailh_Choc_V1,210.312,-71.6535,0.0,top
rSW2,SW_PUSH,Kailh_Choc_V1,229.362,-16.9165,0.0,top
rSW20,SW_PUSH,Kailh_Choc_V1,186.563,-81.1785,0.0,top
rSW21,SW_PUSH,Kailh_Choc_V1,165.104192,-83.121415,15.0,top
rSW22,SW_PUSH,Kailh_Choc_V1,144.710392,-90.283255,30.0,top
rSW23,SW_PUSH,SW_PUSH_6x3mm,152.4,-43.9805,0.0,top
rSW3,SW_PUSH,Kailh_Choc_V1,210.312,-14.5035,0.0,top
rSW4,SW_PUSH,Kailh_Choc_V1,191.262,-16.7895,0.0,top
rSW5,SW_PUSH,Kailh_Choc_V1,172.212,-19.3295,0.0,top
