Comment,Designator,Footprint,LCSC
D,D2,D3_TH_SMD,
SW_PUSH,SW16,Kailh_Choc_V1,
D,D20,D3_TH_SMD,
D,D13,D3_TH_SMD,
SW_PUSH,SW19,Kailh_Choc_V1,
D,D9,D3_TH_SMD,
SW_PUSH,SW10,Kailh_Choc_V1,
D,D10,D3_TH_SMD,
D,D11,D3_TH_SMD,
D,D16,D3_TH_SMD,
D,D15,D3_TH_SMD,
SW_PUSH,SW12,Kailh_Choc_V1,
D,D1,D3_TH_SMD,
SW_PUSH,SW4,Kailh_Choc_V1,
SW_PUSH,SW17,Kailh_Choc_V1,
SW_PUSH,SW22,Kailh_Choc_V1,
D,D7,D3_TH_SMD,
SW_PUSH,SW5,Kailh_Choc_V1,
SW_PUSH,SW7,Kailh_Choc_V1,
D,D3,D3_TH_SMD,
ProMicro,U1,ProMicro_r,
D,D21,D3_TH_SMD,
D,D14,D3_TH_SMD,
SW_PUSH,SW2,Kailh_Choc_V1,
SW_PUSH,SW18,Kailh_Choc_V1,
SW_PUSH,SW9,Kailh_Choc_V1,
SW_PUSH,SW13,Kailh_Choc_V1,
D,D18,D3_TH_SMD,
D,D17,D3_TH_SMD,
SW_PUSH,SW1,Kailh_Choc_V1,
D,D19,D3_TH_SMD,
D,D22,D3_TH_SMD,
SW_PUSH,SW15,Kailh_Choc_V1,
D,D8,D3_TH_SMD,
OLED,OL1,OLED,
MJ-4PP-9,J1,TRRS_PJ-320A,
D,D12,D3_TH_SMD,
D,D4,D3_TH_SMD,
D,D23,D3_TH_SMD,
SW_PUSH,SW8,Kailh_Choc_V1,
SW_PUSH,SW3,Kailh_Choc_V1,
SW_PUSH,SW6,Kailh_Choc_V1,
SW_PUSH,SW21,Kailh_Choc_V1,
SW_PUSH,SW14,Kailh_Choc_V1,
SW_PUSH,SW20,Kailh_Choc_V1,
D,D6,D3_TH_SMD,
SW_PUSH,SW23,SW_PUSH_6x3mm,
D,D5,D3_TH_SMD,
SW_PUSH,SW11,Kailh_Choc_V1,
