Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
D1,D,D3_TH_SMD,77.062,-65.652,-90.0,top
D10,D,D3_TH_SMD,153.162,-81.908,-90.0,top
D11,D,D3_TH_SMD,77.062,-103.371,-90.0,top
D12,D,D3_TH_SMD,96.012,-98.545,-90.0,top
D13,D,D3_TH_SMD,115.062,-96.132,-90.0,top
D14,D,D3_TH_SMD,134.112,-98.672,-90.0,top
D15,D,D3_TH_SMD,153.162,-101.085,-90.0,top
D16,D,D3_TH_SMD,172.212,-107.689,-90.0,top
D17,D,D3_TH_SMD,77.062,-122.548,-90.0,top
D18,D,D3_TH_SMD,96.012,-117.722,-90.0,top
D19,D,D3_TH_SMD,115.062,-115.309,-90.0,top
D2,D,D3_TH_SMD,96.012,-60.445,-90.0,top
D20,D,D3_TH_SMD,138.811,-124.834,-90.0,top
D21,D,D3_TH_SMD,160.733492,-124.755508,-105.0,top
D22,D,D3_TH_SMD,181.991,-130.168,-120.0,top
D23,D,D3_TH_SMD,180.216,-95.300412,180.0,top
D3,D,D3_TH_SMD,115.062,-58.032,-90.0,top
D4,D,D3_TH_SMD,134.112,-60.318,-90.0,top
D5,D,D3_TH_SMD,153.162,-62.731,-90.0,top
D6,D,D3_TH_SMD,77.062,-84.448,-90.0,top
D7,D,D3_TH_SMD,96.012,-79.622,-90.0,top
D8,D,D3_TH_SMD,115.062,-77.209,-90.0,top
D9,D,D3_TH_SMD,134.112,-79.622,-90.0,top
J1,MJ-4PP-9,TRRS_PJ-320A,195.307,-91.744412,-90.0,top
OL1,OLED,OLED,198.247,-71.264412,90.0,top
SW1,SW_PUSH,Kailh_Choc_V1,85.344,-67.601412,0.0,top
SW10,SW_PUSH,Kailh_Choc_V1,161.544,-84.270412,0.0,top
SW11,SW_PUSH,Kailh_Choc_V1,85.344,-105.701412,0.0,top
SW12,SW_PUSH,Kailh_Choc_V1,104.394,-100.938412,0.0,top
SW13,SW_PUSH,Kailh_Choc_V1,123.444,-98.559412,0.0,top
SW14,SW_PUSH,Kailh_Choc_V1,142.494,-100.938412,0.0,top
SW15,SW_PUSH,Kailh_Choc_V1,161.544,-103.320412,0.0,top
SW16,SW_PUSH,Kailh_Choc_V1,180.594,-110.146412,0.0,top
SW17,SW_PUSH,Kailh_Choc_V1,85.344,-124.751412,0.0,top
SW18,SW_PUSH,Kailh_Choc_V1,104.394,-119.988412,0.0,top
SW19,SW_PUSH,Kailh_Choc_V1,123.444,-117.609412,0.0,top
SW2,SW_PUSH,Kailh_Choc_V1,104.394,-62.838412,0.0,top
SW20,SW_PUSH,Kailh_Choc_V1,147.178,-127.149412,0.0,top
SW21,SW_PUSH,Kailh_Choc_V1,168.569881,-129.107327,-15.0,top
SW22,SW_PUSH,Kailh_Choc_V1,188.375512,-135.844795,-30.0,top
SW23,SW_PUSH,SW_PUSH_6x3mm,180.213,-90.474412,180.0,top
SW3,SW_PUSH,Kailh_Choc_V1,123.444,-60.459412,0.0,top
SW4,SW_PUSH,Kailh_Choc_V1,142.494,-62.838412,0.0,top
SW5,SW_PUSH,Kailh_Choc_V1,161.544,-65.220412,0.0,top
SW6,SW_PUSH,Kailh_Choc_V1,85.344,-86.651412,0.0,top
SW7,SW_PUSH,Kailh_Choc_V1,104.394,-81.888412,0.0,top
SW8,SW_PUSH,Kailh_Choc_V1,123.444,-79.509412,0.0,top
SW9,SW_PUSH,Kailh_Choc_V1,142.494,-81.888412,0.0,top
U1,ProMicro,ProMicro_r,186.055,-71.043412,0.0,top
