Comment,Designator,Footprint,LCSC
D,rD15,D3_TH_SMD,
SW_PUSH,rSW3,Kailh_Choc_V1,
SW_PUSH,rSW5,Kailh_Choc_V1,
SW_PUSH,rSW7,Kailh_Choc_V1,
D,rD4,D3_TH_SMD,
D,rD19,D3_TH_SMD,
D,rD10,D3_TH_SMD,
SW_PUSH,rSW2,Kailh_Choc_V1,
D,rD13,D3_TH_SMD,
SW_PUSH,rSW23,SW_PUSH_6x3mm,
D,rD8,D3_TH_SMD,
SW_PUSH,rSW16,Kailh_Choc_V1,
SW_PUSH,rSW8,Kailh_Choc_V1,
SW_PUSH,rSW19,Kailh_Choc_V1,
D,rD21,D3_TH_SMD,
D,rD20,D3_TH_SMD,
SW_PUSH,rSW4,Kailh_Choc_V1,
SW_PUSH,rSW21,Kailh_Choc_V1,
D,rD7,D3_TH_SMD,
SW_PUSH,rSW10,Kailh_Choc_V1,
D,rD17,D3_TH_SMD,
D,rD14,D3_TH_SMD,
D,rD2,D3_TH_SMD,
SW_PUSH,rSW15,Kailh_Choc_V1,
D,rD22,D3_TH_SMD,
SW_PUSH,rSW22,Kailh_Choc_V1,
MJ-4PP-9,rJ1,TRRS_PJ-320A,
OLED,rOL1,OLED,
D,rD6,D3_TH_SMD,
SW_PUSH,rSW13,Kailh_Choc_V1,
SW_PUSH,rSW11,Kailh_Choc_V1,
SW_PUSH,rSW17,Kailh_Choc_V1,
SW_PUSH,rSW12,Kailh_Choc_V1,
D,rD16,D3_TH_SMD,
D,rD23,D3_TH_SMD,
D,rD3,D3_TH_SMD,
SW_PUSH,rSW20,Kailh_Choc_V1,
ProMicro,rU1,ProMicro_r,
D,rD9,D3_TH_SMD,
D,rD5,D3_TH_SMD,
D,rD18,D3_TH_SMD,
D,rD12,D3_TH_SMD,
SW_PUSH,rSW9,Kailh_Choc_V1,
SW_PUSH,rSW6,Kailh_Choc_V1,
SW_PUSH,rSW14,Kailh_Choc_V1,
SW_PUSH,rSW18,Kailh_Choc_V1,
SW_PUSH,rSW1,Kailh_Choc_V1,
D,rD1,D3_TH_SMD,
D,rD11,D3_TH_SMD,
