Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
rD1,D,D3_TH_SMD,211.556,-78.97,-90.0,top
rD10,D,D3_TH_SMD,135.356,-95.226,-90.0,top
rD11,D,D3_TH_SMD,211.556,-116.562,-90.0,top
rD12,D,D3_TH_SMD,192.506,-111.863,-90.0,top
rD13,D,D3_TH_SMD,173.456,-109.45,-90.0,top
rD14,D,D3_TH_SMD,154.406,-111.736,-90.0,top
rD15,D,D3_TH_SMD,135.356,-114.403,-90.0,top
rD16,D,D3_TH_SMD,116.306,-121.261,-90.0,top
rD17,D,D3_TH_SMD,211.556,-135.612,-90.0,top
rD18,D,D3_TH_SMD,192.506,-132.945,-90.0,top
rD19,D,D3_TH_SMD,173.456,-128.5,-90.0,top
rD2,D,D3_TH_SMD,192.506,-73.89,-90.0,top
rD20,D,D3_TH_SMD,149.707,-138.152,-90.0,top
rD21,D,D3_TH_SMD,127.911508,-137.946508,-75.0,top
rD22,D,D3_TH_SMD,106.527,-143.74,-60.0,top
rD23,D,D3_TH_SMD,107.489,-108.053,0.0,top
rD3,D,D3_TH_SMD,173.583,-71.35,-90.0,top
rD4,D,D3_TH_SMD,154.406,-73.636,-90.0,top
rD5,D,D3_TH_SMD,135.356,-76.303,-90.0,top
rD6,D,D3_TH_SMD,211.556,-97.512,-90.0,top
rD7,D,D3_TH_SMD,192.506,-92.94,-90.0,top
rD8,D,D3_TH_SMD,173.456,-90.527,-90.0,top
rD9,D,D3_TH_SMD,154.406,-92.686,-90.0,top
rJ1,MJ-4PP-9,TRRS_PJ-320A,93.284,-105.0785,90.0,top
rOL1,OLED,OLED,90.344,-84.525,90.0,top
rSW1,SW_PUSH,Kailh_Choc_V1,203.247,-80.8675,0.0,top
rSW10,SW_PUSH,Kailh_Choc_V1,127.047,-97.626,0.0,top
rSW11,SW_PUSH,Kailh_Choc_V1,203.247,-118.962,0.0,top
rSW12,SW_PUSH,Kailh_Choc_V1,184.197,-114.263,0.0,top
rSW13,SW_PUSH,Kailh_Choc_V1,165.147,-111.85,0.0,top
rSW14,SW_PUSH,Kailh_Choc_V1,146.097,-114.136,0.0,top
rSW15,SW_PUSH,Kailh_Choc_V1,127.047,-116.676,0.0,top
rSW16,SW_PUSH,Kailh_Choc_V1,107.997,-123.502,0.0,top
rSW17,SW_PUSH,Kailh_Choc_V1,203.247,-138.012,0.0,top
rSW18,SW_PUSH,Kailh_Choc_V1,184.197,-133.313,0.0,top
rSW19,SW_PUSH,Kailh_Choc_V1,165.147,-130.9,0.0,top
rSW2,SW_PUSH,Kailh_Choc_V1,184.197,-76.163,0.0,top
rSW20,SW_PUSH,Kailh_Choc_V1,141.398,-140.425,0.0,top
rSW21,SW_PUSH,Kailh_Choc_V1,119.939192,-142.367915,15.0,top
rSW22,SW_PUSH,Kailh_Choc_V1,99.545392,-149.529755,30.0,top
rSW23,SW_PUSH,SW_PUSH_6x3mm,107.235,-103.227,0.0,top
rSW3,SW_PUSH,Kailh_Choc_V1,165.147,-73.75,0.0,top
rSW4,SW_PUSH,Kailh_Choc_V1,146.097,-76.036,0.0,top
rSW5,SW_PUSH,Kailh_Choc_V1,127.047,-78.576,0.0,top
rSW6,SW_PUSH,Kailh_Choc_V1,203.247,-99.912,0.0,top
rSW7,SW_PUSH,Kailh_Choc_V1,184.197,-95.213,0.0,top
rSW8,SW_PUSH,Kailh_Choc_V1,165.147,-92.8,0.0,top
rSW9,SW_PUSH,Kailh_Choc_V1,146.097,-95.086,0.0,top
rU1,ProMicro,ProMicro_r,102.536,-84.304,0.0,top
